date,week,ws,tce_usd_day,source,note
2021-12-03,2021-48,40,731,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-48.html,
2021-12-10,2021-49,38,-1300,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-49.html,
2021-12-17,2021-50,40.05,891,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2021/tanker-report-week-50.html,
2022-01-07,2022-1,37,-760,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-1.html,
2022-01-14,2022-2,36.5,-4200,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-2.html,
2022-01-21,2022-3,35.5,-6300,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-3.html,
2022-01-28,2022-4,35.5,-5200,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-4.html,
2022-02-04,2022-5,34,-8300,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-5.html,
2022-02-11,2022-6,33,-10600,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-6.html,
2022-02-18,2022-7,32,-13100,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-7.html,
2022-02-25,2022-8,38.82,-5800,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-8.html,
2022-03-04,2022-9,55,5700,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-9.html,
2022-03-11,2022-10,46.5,-15300,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-10.html,
2022-03-18,2022-11,38.5,-9700,https://www.balticexchange.com/en/data-services/WeeklyRoundup/tanker/news/2022/tanker-report-week-11.html,
